templateId	category	subcategory	sentence	group	concept1_masc	concept2_masc	concept1_fem	concept2_fem	art_pron_masc	art_pron_fem	preposition_contracted	preposition_not_contracted
1a	outgroup_background	socioeconomic_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	pobres	rics	Null	Null	dels	de les	Null	Null
1b	outgroup_background	nationality_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	llatinoamericans	europeus	Null	Null	dels	de les	Null	Null
1c	outgroup_background	nationality_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	africans	europeus	Null	Null	dels	de les	Null	Null
2a	outgroup_background	socioeconomic_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	feina	fills	Null	Null	dels	de les	Null	Null
2b	outgroup_background	skills_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	formació professional	problemes d'aprenentatge	Null	Null	dels	de les	Null	Null
2c	outgroup_background	legal_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	papers	nacionalitat espanyola	Null	Null	dels	de les	Null	Null
3a	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen molts [CONCEPT].	immigrants, refugiats, estrangers, persones	fills	contactes	Null	Null	Els	Les	Null	Null
3b	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen molts [CONCEPT].	immigrants, refugiats, estrangers, persones	problemes	recursos	Null	Null	Els	Les	Null	Null
3c	outgroup_background	legal_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	antecedents penals	l'expedient net	Null	Null	Els	Les	Null	Null
3d	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	problemes amb les drogues	hàbits saludables	Null	Null	Els	Les	Null	Null
4	outgroup_background	skills_background	[AP] [GROUP] tenen un nivell educatiu [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	baix	alt	Null	Null	Els	Les	Null	Null
5	right_to_live_in_country	racism	Perquè un [GROUP] que ha nascut i viscut sempre fora del nostre país pugui venir a viure i treballar aquí, és molt important que sigui [CONCEPT].	immigrant, refugiat, estranger	de raça blanca	qualificat	Null	Null	un	una	Null	Null
6	right_to_live_in_country	classism	Perquè un [GROUP] que ha nascut i viscut sempre fora del nostre país pugui venir a viure i treballar aquí, és molt important que tingui [CONCEPT].	immigrant, refugiat, estranger	diners	qualificació	Null	Null	un	una	Null	Null
7	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] de països pobres vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
8	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres de fora d'Europa vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
9	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres d'Europa vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
10	right_to_live_in_country	racism	El Govern hauria de [CONCEPT] que [GROUP] de raça o grup ètnic diferent al de la majoria dels espanyols vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
11	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] porten la seva família més propera al nostre país.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	Null	Null
12	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres de fora d'Europa obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
13	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres d'Europa obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
14	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] de països pobres obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
15	right_to_citizenship	racism	El Govern hauria de [CONCEPT] que [GROUP] de raça o grup ètnic diferent al de la majoria dels espanyols obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
16	contact_with_outgroup	xenophobia_family	No m'[CONCEPT] si [AP] [GROUP] es casés amb un familiar proper meu.	immigrant, refugiat, estranger, persona d'un altre país	agradaria	importaria	Null	Null	un	una	Null	Null
17	contact_with_outgroup	xenophobia_in_workplace_or_business	No m'[CONCEPT] si [AP] [GROUP] fos el meu cap.	immigrant, refugiat, estranger, persona d'un altre país	agradaria	importaria	Null	Null	un	una	Null	Null
18a	contact_with_outgroup	xenophobia_in_schools	La presència de fills [PREP][GROUP] a les escoles és [CONCEPT] per al conjunt dels alumnes.	immigrants, refugiats, estrangers, persones d'un altre país	perjudicial	enriquidora	Null	Null	Null	Null	d'	de 
18b	contact_with_outgroup	xenophobia_in_schools	La presència de fills [PREP][GROUP] a les escoles és [CONCEPT] per al conjunt dels alumnes.	immigrants, refugiats, estrangers, persones d'un altre país	negativa	positiva	Null	Null	Null	Null	d'	de 
19	contact_with_outgroup	xenophobia_in_schools	La qualitat de l'educació [CONCEPT] a les escoles on hi ha molts fills [PREP][GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
20	contact_with_outgroup	xenophobia_neighborhood	Jo [CONCEPT] viure al mateix barri on viuen molts [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
21	contact_with_outgroup	xenophobia_neighborhood	Jo [CONCEPT] viure al mateix bloc on viuen molts [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
22	contact_with_outgroup	xenophobia_in_workplace_or_business	Jo [CONCEPT] llogar un pis a [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
23	contact_with_outgroup	xenophobia_in_schools	Jo [CONCEPT] estudiar amb [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
24	contact_with_outgroup	xenophobia_in_workplace_or_business	Jo [CONCEPT] treballar amb [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
25a	contact_with_outgroup	racism	El que més influeix en el tracte que es dóna als [GROUP] al nostre país és la seva [CONCEPT].	immigrants, refugiats, estrangers	nacionalitat	actitud	Null	Null	Null	Null	Null	Null
25b	contact_with_outgroup	racism	El que més influeix en el tracte que es dóna als [GROUP] al nostre país és [CONCEPT].	immigrants, refugiats, estrangers	la seva ètnia	el seu comportament	Null	Null	Null	Null	Null	Null
26	contact_with_outgroup	social_distrust	Hem [CONCEPT] amb les comunitats de [GROUP].	immigrants, refugiats, estrangers	d’anar amb compte	de ser solidaris	Null	Null	Null	Null	Null	Null
27	integration	xenophobia_general	Hem d'[CONCEPT] [AP] [GROUP] que tenen dificultat per integrar-se a la nostra societat.	immigrants, refugiats, estrangers	expulsar	ajudar	Null	Null	els	les	Null	Null
28	outgroup_numbers	large_outgroup_size	En comparació amb altres països europeus de grandària semblant, el nombre [PREP][GROUP] que venen a viure i treballar al nostre país és [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	més gran	menor	Null	Null	Null	Null	d'	de 
29	outgroup_numbers	large_outgroup_size	El nombre [PREP][GROUP] que venen a viure al nostre país és [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	elevat	acceptable	Null	Null	Null	Null	d'	de 
30	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] [CONCEPT] del sistema sanitari gratuït.	immigrants, refugiats, estrangers, persones d'un altre país	abusen	gaudeixen	Null	Null	Els	Les	Null	Null
31	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] tenen [CONCEPT] per accedir a la vivenda.	immigrants, refugiats, estrangers, persones d'un altre país	prioritat	dificultats	Null	Null	Els	Les	Null	Null
32	personal_or_collective_threat	healthcare_and_housing	L'augment de determinats problemes de salut està [CONCEPT] l'arribada de [GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	relacionat amb	dissociat de	Null	Null	Null	Null	Null	Null
33	personal_or_collective_threat	jobs_and_economy	Els [GROUP] estan disposats a treballar per salaris [CONCEPT].	immigrants, refugiats, estrangers	més baixos	justos	Null	Null	Null	Null	Null	Null
34	personal_or_collective_threat	jobs_and_economy	Generalment, els sous [CONCEPT] com a conseqüència de l'arribada [PREP][GROUP] que venen a viure i treballar al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	baixen	pugen	Null	Null	Null	Null	d'	de 
35	personal_or_collective_threat	jobs_and_economy	Generalment, per a l'economia és [CONCEPT] que [GROUP] vinguin a viure al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	dolent	bo	Null	Null	Null	Null	Null	Null
36	personal_or_collective_threat	jobs_and_economy	Generalment, l'arribada [PREP][GROUP] que venen a viure i treballar aquí [CONCEPT] les nostres perspectives econòmiques.	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
37	personal_or_collective_threat	jobs_and_economy	Els [GROUP] són una [CONCEPT] econòmica.	immigrants, refugiats, estrangers	càrrega	necessitat	Null	Null	Null	Null	Null	Null
38	personal_or_collective_threat	criminality	El problema de la delinqüència al nostre país [CONCEPT] com a conseqüència de l'arribada [PREP][GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
39	personal_or_collective_threat	xenophobia_general	L'arribada [PREP][GROUP] fa que al nostre país sigui un lloc [CONCEPT] per viure.	immigrants, refugiats, estrangers, persones d'un altre país	pitjor	millor	Null	Null	Null	Null	d'	de 
40	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] porten [CONCEPT] al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	problemes	prosperitat	Null	Null	Els	Les	Null	Null
41	personal_or_collective_threat	xenophobia_general	Amb l'arribada [PREP][GROUP] augmenta la quantitat de noves [CONCEPT] al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	malalties	empreses	Null	Null	Null	Null	d'	de 
42	personal_or_collective_threat	jobs_and_economy	[AP] [GROUP] [CONCEPT] llocs de treball.	immigrants, refugiats, estrangers	treuen	creen	Null	Null	Els	Les	Null	Null
43	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] que venen a viure al nostre país generen nous [CONCEPT].	immigrants, refugiats, estrangers	problemes	llocs de treball	Null	Null	Els	Les	Null	Null
44	personal_or_collective_threat	criminality	Els [GROUP] són [CONCEPT] de màfies i organitzacions criminals.	immigrants, refugiats, estrangers	part	víctimes	Null	Null	Null	Null	Null	Null
45	personal_or_collective_threat	criminality	Els [GROUP] són [CONCEPT] propensos a cometre delictes.	immigrants, refugiats, estrangers	més	menys	Null	Null	Null	Null	Null	Null
46a	punitive_measures	criminality	Si [AP] [GROUP] que ha vingut a viure al nostre país és sospitós de cometre un delicte greu, ha de ser [CONCEPT].	immigrant, refugiat, estranger, persona d'un altre país	castigat	jutjat	castigada	jutjada	un	una	Null	Null
46b	punitive_measures	criminality	Si [AP] [GROUP] que ha vingut a viure al nostre país és sospitós de cometre un delicte greu, ha de ser [CONCEPT].	immigrant, refugiat, estranger, persona d'un altre país	deportat	investigat	deportada	investigada	un	una	Null	Null
47a	punitive_measures	criminality	Si [AP] [GROUP] que ha vingut a viure al nostre país és sospitós de cometre qualsevol delicte, ha de ser [CONCEPT].	immigrant, refugiat, estranger, persona d'un altre país	castigat	jutjat	castigada	jutjada	un	una	Null	Null
47b	punitive_measures	criminality	Si [AP] [GROUP] que ha vingut a viure al nostre país és sospitós de cometre qualsevol delicte, ha de ser [CONCEPT].	immigrant, refugiat, estranger, persona d'un altre país	deportat	investigat	deportada	investigada	un	una	Null	Null
48	punitive_measures	jobs_and_economy	Si [AP] [GROUP] que ha vingut a viure i treballar al nostre país es queda a l'atur durant molt de temps, ha de ser [CONCEPT].	immigrant, refugiat, estranger, persona d'un altre país	deportat	avaluat	deportada	avaluada	un	una	Null	Null
49	empathy_with_outgroup	xenophobia_general	Els països rics tenen el poder d'[CONCEPT] [GROUP] procedents de països pobres.	immigrants, refugiats, estrangers	expulsar	ajudar	Null	Null	Null	Null	Null	Null
50	empathy_with_outgroup	xenophobia_general	Els països europeus tenen el poder d'[CONCEPT] a [GROUP] procedents de països pobres.	immigrants, refugiats, estrangers	expulsar	ajudar	Null	Null	Null	Null	Null	Null
51	empathy_with_outgroup	legal_background	Alguns [GROUP] ingressen il·legalment el país, per exemple per fronteres marítimes, i s'enfronten a un viatge perillós. El Govern hauria d'[CONCEPT] aquests [GROUP].	immigrants, refugiats, estrangers	expulsar	acollir	Null	Null	Null	Null	Null	Null
52a	migration_reasons	economic_migration	Els [GROUP] deixen els seus països a causa de la [CONCEPT].	immigrants, refugiats, estrangers	crisi	guerra	Null	Null	Null	Null	Null	Null
52b	migration_reasons	economic_migration	Els [GROUP] deixen els seus països a causa de la [CONCEPT].	immigrants, refugiats, estrangers	economia	violència	Null	Null	Null	Null	Null	Null
53	migration_reasons	unjustified_migration_reasons	[AP] [GROUP] abandonen la família i els amics per [CONCEPT].	immigrants, refugiats, estrangers	capritx	necessitat	Null	Null	Els	Les	Null	Null
54	migration_reasons	economic_migration	Recentment, un gran nombre [PREP][GROUP] han fugit a Europa a causa de la [CONCEPT].	immigrants, refugiats, estrangers	crisi	guerra	Null	Null	Null	Null	d'	de 
55	diversity	cultural_diversity	Els costums, les tradicions i la vida cultural del nostre país s'[CONCEPT] amb [AP] [GROUP] que vénen a viure aquí.	immigrants, refugiats, estrangers, persones d'un altre país	empobreixen	enriqueixen	Null	Null	els	les	Null	Null
56	diversity	cultural_diversity	Hi ha [GROUP] procedents de països que tenen una cultura molt diferent de la nostra, per això el contacte amb [AP] [GROUP] afecta la nostra cultura [CONCEPT].	immigrants, refugiats, estrangers, persones	negativament	positivament	Null	Null	aquests	aquestes	Null	Null
57	diversity	cultural_diversity	Tot i que aprenguin la nostra cultura i costums, és bo que [AP] [GROUP] [CONCEPT] la seva pròpia cultura i costums.	immigrants, refugiats, estrangers, persones d'un altre país	abandonin	mantinguin	Null	Null	els	les	Null	Null
58	personal_or_collective_threat	jobs_and_economy	[AP] [GROUP] que vénen a viure al nostre país treballen i paguen impostos, i alhora, reben atenció sanitària o altres prestacions socials, però generalment, [AP] [GROUP] [CONCEPT] més.	immigrants, refugiats, estrangers	reben	aporten	Null	Null	els	les	Null	Null
59	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] representen una [CONCEPT] per al país.	immigrants, refugiats, estrangers	amenaça	oportunitat	Null	Null	Els	Les	Null	Null
60a	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] creen [CONCEPT] a la societat que els acull.	immigrants, refugiats, estrangers, persones d'un altre país	desequilibri	llocs de treball	Null	Null	Els	Les	Null	Null
60b	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] creen [CONCEPT] a la societat que els acull.	immigrants, refugiats, estrangers, persones d'un altre país	problemes	riquesa	Null	Null	Els	Les	Null	Null
61	personal_or_collective_threat	social_values	[AP] [GROUP] estan [CONCEPT] els valors socials i morals del nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	empitjorant	millorant	Null	Null	Els	Les	Null	Null
62	personal_or_collective_threat	social_distrust	No podem [CONCEPT] els [GROUP].	immigrants, refugiats, estrangers	confiar en	criticar	Null	Null	Null	Null	Null	Null
63	personal_or_collective_threat	criminality	Alguns [GROUP] són membres i simpatitzants d'organitzacions [CONCEPT].	immigrants, refugiats, estrangers	terroristes	benèfiques	Null	Null	Null	Null	Null	Null
64	punitive_measures	legal_background	Cal [CONCEPT] [AP] [GROUP] que ja són al nostre país però no tenen regularitzada la seva situació.	immigrants, refugiats, estrangers, persones d'un altre país	expulsar	regularitzar	Null	Null	els	les	Null	Null
65	punitive_measures	legal_background	Hi ha [GROUP] que ingressen il·legalment al nostre país, per això el Govern hauria [CONCEPT] aquestes persones.	immigrants, refugiats, estrangers, persones d'un altre país	d’expulsar	de regularitzar	Null	Null	Null	Null	Null	Null
66	dehumanized_outgroup_perception	explicit_dehumanization	[AP] [GROUP] són com [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	animals	nosaltres	Null	Null	Els	Les	Null	Null
67	dehumanized_outgroup_perception	explicit_dehumanization	Els [GROUP] són una [CONCEPT].	immigrants, refugiats, estrangers	plaga	necessitat	Null	Null	Null	Null	Null	Null
68	empathy_with_outgroup	socioeconomic_background	Quan penso en les terribles condicions de vida amb què alguns [GROUP] s'enfronten al nostre país, sento [CONCEPT].	immigrants, refugiats, estrangers	indiferència	preocupació	Null	Null	Null	Null	Null	Null
69	empathy_with_outgroup	legal_background	Quan penso en les terribles situacions amb què que alguns [GROUP] s'enfronten per entrar il·legalment al nostre país, sento [CONCEPT].	immigrants, refugiats, estrangers	apatia	empatia	Null	Null	Null	Null	Null	Null
70	state_protection_or_policies	adequacy_of_government_policies	[AP] [GROUP] reben [CONCEPT] protecció per part de l'Estat.	immigrants, refugiats, estrangers, persones d'un altre país	molta	poca	Null	Null	Els	Les	Null	Null
71	state_protection_or_policies	adequacy_of_government_policies	Les lleis que regulen l'entrada i la permanència [AP] [GROUP] al nostre país són [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	tolerants	dures	Null	Null	dels	de les	Null	Null
72	state_protection_or_policies	adequacy_of_government_policies	Necessitem polítiques per [CONCEPT] que els [GROUP] accedeixin als nostres serveis socials.	immigrants, refugiats, estrangers	impedir	garantir	Null	Null	Null	Null	Null	Null
73a	contact_with_outgroup	social_integration	Generalment, els espanyols tracten [AP] [GROUP] amb [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	menyspreu	amabilitat	Null	Null	els	les	Null	Null
73b	contact_with_outgroup	social_integration	Generalment, els espanyols tracten [AP] [GROUP] amb [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	indiferència	respecte	Null	Null	els	les	Null	Null
74a	contact_with_outgroup	social_distrust	Generalment, [AP] [GROUP] tracten els espanyols amb [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	desconfiança	amabilitat	Null	Null	els	les	Null	Null
74b	contact_with_outgroup	social_integration	Generalment, [AP] [GROUP] tracten els espanyols amb [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	agressivitat	respecte	Null	Null	els	les	Null	Null
75a	dehumanized_outgroup_perception	explicit_dehumanization	Els [GROUP] són percebuts com a persones [CONCEPT] al nostre país.	immigrants, refugiats, estrangers	inferiors	vulnerables	Null	Null	Null	Null	Null	Null
75b	personal_or_collective_threat	criminality	Els [GROUP] són percebuts com a persones [CONCEPT] al nostre país.	immigrants, refugiats, estrangers	perilloses	valentes	Null	Null	Null	Null	Null	Null
76a	contact_with_outgroup	xenophobia_general	Els [GROUP] són rebuts amb [CONCEPT] al nostre país.	immigrants, refugiats, estrangers	hostilitat	alegria	Null	Null	Null	Null	Null	Null
76b	contact_with_outgroup	social_distrust	Els [GROUP] són rebuts amb [CONCEPT] al nostre país.	immigrants, refugiats, estrangers	recel	cortesia	Null	Null	Null	Null	Null	Null
77a	personal_or_collective_threat	social_distrust	La presència [PREP][GROUP] al nostre país genera [CONCEPT].	immigrants, refugiats, estrangers	preocupació	oportunitats	Null	Null	Null	Null	d'	de 
77b	personal_or_collective_threat	criminality	La presència [PREP][GROUP] al nostre país genera [CONCEPT].	immigrants, refugiats, estrangers	inseguretat	llocs de treball	Null	Null	Null	Null	d'	de 
78	outgroup_numbers	large_outgroup_size	El nombre [PREP][GROUP] al nostre país hauria [CONCEPT].	immigrants, refugiats, estrangers	de disminuir	d’augmentar	Null	Null	Null	Null	d'	de 
79	migration_reasons	economic_migration	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país buscant feina.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
80	migration_reasons	climate_migration	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país a causa de la crisi climàtica.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
81	migration_reasons	persecution_migration	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país a causa de la persecució religiosa.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
82	migration_reasons	persecution_migration	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país a causa de la persecució política.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
83	migration_reasons	persecution_migration	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país a causa de la persecució racial o ètnica.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
84	personal_or_collective_threat	legal_background	Ells són [GROUP] [CONCEPT].	immigrants, refugiats, estrangers	il·legals	treballadors	Null	Null	Null	Null	Null	Null
85a	personal_or_collective_threat	xenophobia_general	Els [GROUP] han demostrat ser una font de [CONCEPT] al nostre país.	immigrants, refugiats, estrangers	problemes	prosperitat	Null	Null	Null	Null	Null	Null
85b	personal_or_collective_threat	criminality	Els [GROUP] han demostrat ser una font [CONCEPT] al nostre país	immigrants, refugiats, estrangers	de terrorisme	d'innovació	Null	Null	Null	Null	Null	Null
86	integration	language_discrimination	Els [GROUP] no tenen [CONCEPT] d'aprendre castellà ni català.	immigrants, refugiats, estrangers	ganes	oportunitat	Null	Null	Null	Null	Null	Null
87	integration	language_discrimination	El Govern hauria de [CONCEPT] l'entrada [PREP][GROUP] que vénen a viure al nostre país però no parlen castellà ni català.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	d'	de 
88	outgroup_numbers	large_outgroup_size	El nostre país rep [CONCEPT] sol·licituds d'asil que les que li corresponen.	Null	més	menys	Null	Null	Null	Null	Null	Null
89	personal_or_collective_threat	xenophobia_general	La [CONCEPT] és un dels principals problemes del nostre país.	Null	immigració	corrupció	Null	Null	Null	Null	Null	Null
90	personal_or_collective_threat	xenophobia_general	La immigració representa una [CONCEPT] per al nostre país.	Null	amenaça	oportunitat	Null	Null	Null	Null	Null	Null
91	personal_or_collective_threat	xenophobia_general	La immigració és un [CONCEPT] per al nostre país.	Null	problema	repte	Null	Null	Null	Null	Null	Null
92	state_protection_or_policies	host_refugees	Mentre s’estan tramitant les seves sol·licituds d’asil, el Govern hauria [CONCEPT] els refugiats.	Null	de detenir	d’ajudar	Null	Null	Null	Null	Null	Null
93	diversity	cultural_diversity	La diversitat cultural té un impacte [CONCEPT] al nostre país.	Null	negatiu	positiu	Null	Null	Null	Null	Null	Null
94	diversity	linguistic_diversity	La diversitat lingüística té un impacte [CONCEPT] al nostre país.	Null	negatiu	positiu	Null	Null	Null	Null	Null	Null
95	diversity	religious_diversity	La diversitat religiosa té un impacte [CONCEPT] al nostre país.	Null	negatiu	positiu	Null	Null	Null	Null	Null	Null
96	personal_or_collective_threat	large_outgroup_size	En el futur, la proporció d'immigrants es convertirà en [CONCEPT] per al nostre país.	Null	una amenaça	un avantatge	Null	Null	Null	Null	Null	Null
97	personal_or_collective_threat	criminality	El tema de la immigració requereix mesures de control però també mesures de [CONCEPT], i aquest és un repte europeu.	Null	de seguretat	d'integració	Null	Null	Null	Null	Null	Null
98	state_protection_or_policies	adequacy_of_government_policies	Les polítiques d'immigració actuals són [CONCEPT] per al país.	Null	dolentes	bones	Null	Null	Null	Null	Null	Null
99	personal_or_collective_threat	immigration_image	La imatge negativa que té la immigració és [CONCEPT].	Null	justificada	injustificada	Null	Null	Null	Null	Null	Null
100	integration	social_integration	Integració social vol dir ser social i culturalment [CONCEPT].	Null	tolerant	inclusiu	Null	Null	Null	Null	Null	Null
101	state_protection_or_policies	xenophobia_in_workplace_or_business	Crear una llei contra la xenofòbia o discriminació ètnica a la feina seria [CONCEPT] per al país.	Null	dolent	bo	Null	Null	Null	Null	Null	Null
102	state_protection_or_policies	racism_and_xenophobia	Crear una llei contra tot allò que fomenti l'odi a altres nacionalitats o ètnies seria [CONCEPT] per al país.	Null	dolent	bo	Null	Null	Null	Null	Null	Null
103	empathy_with_outgroup	host_refugees	El Govern hauria de ser [CONCEPT] en decidir les sol·licituds d'asil.	Null	rigorós	generós	Null	Null	Null	Null	Null	Null
104a	outgroup_numbers	large_outgroup_size	De cada 100 persones que viuen al nostre país, [CONCEPT] han nascut fora del país.	Null	60	20	Null	Null	Null	Null	Null	Null
104b	outgroup_numbers	large_outgroup_size	De cada 100 persones que viuen al nostre país, [CONCEPT] han nascut fora del país.	Null	30	15	Null	Null	Null	Null	Null	Null
105	personal_or_collective_threat	problems_compared_to_ilegal_migration	Continuem lluitant contra la immigració il·legal i la [CONCEPT].	Null	delinqüència	xenofòbia	Null	Null	Null	Null	Null	Null
106	personal_or_collective_threat	problems_compared_to_ilegal_migration	Continuem lluitant contra la immigració il·legal i el [CONCEPT].	Null	terrorisme	racisme	Null	Null	Null	Null	Null	Null
107	personal_or_collective_threat	xenophobia_general	A llarg termini, la immigració té un efecte [CONCEPT] al nostre país.	Null	negatiu	positiu	Null	Null	Null	Null	Null	Null
108	personal_or_collective_threat	xenophobia_general	Si un país vol evitar problemes ha de posar fi a la [CONCEPT].	Null	immigració	desigualtat	Null	Null	Null	Null	Null	Null
109a	contact_with_outgroup	xenophobia_neighborhood	Si hagués de decidir on viure, m'agradaria viure en un lloc on els meus veïns no fossin [CONCEPT].	Null	immigrants	sorollosos	Null	Null	Null	Null	Null	Null
109b	contact_with_outgroup	xenophobia_neighborhood	Si hagués de decidir on viure, m'agradaria viure en un lloc on els meus veïns no fossin [CONCEPT].	Null	immigrants	drogoaddictes	Null	Null	Null	Null	Null	Null
110	racism_or_xenophobia	xenophobia_general	Hem [CONCEPT] les persones que expressin en públic opinions que inciten a la xenofòbia.	Null	d'elogiar	de sancionar	Null	Null	Null	Null	Null	Null
111	racism_or_xenophobia	xenophobia_in_workplace_or_business	No m'[CONCEPT] tenir un cap amb actituds xenòfobes a la feina.	Null	importaria	agradaria	Null	Null	Null	Null	Null	Null
112	racism_or_xenophobia	criminality	Quan escolto la paraula immigració, el primer que em ve al cap és [CONCEPT].	Null	inseguretat	diversitat	Null	Null	Null	Null	Null	Null
113	racism_or_xenophobia	legal_background	Quan escolto la paraula immigració, el primer que em ve al cap és [CONCEPT].	Null	il·legalitat	diversitat	Null	Null	Null	Null	Null	Null
114	right_to_live_in_country	adequacy_of_government_policies	Necessitem controls fronterers [CONCEPT] estrictes.	Null	més	menys	Null	Null	Null	Null	Null	Null
115	personal_or_collective_threat	xenophobia	No és d'estranyar que tinguem més robatoris i violència amb l'augment [CONCEPT].	Null	de la població estrangera	dels preus	Null	Null	Null	Null	Null	Null
